ClaimID,AccidentDate,ReportDate,TransactionDate,TransactionAmount
CLM-10729,2023-05-19,2023-07-10,2024-09-26,48356.6
CLM-10334,2021-04-20,2021-04-29,2021-10-13,63551.48
CLM-10128,2022-01-16,2022-01-26,2022-09-24,65621.89
CLM-10162,2020-02-24,2020-04-24,2020-09-07,81999.1
CLM-10692,2021-08-14,2021-11-11,2022-08-18,82277.33
CLM-10028,2020-03-02,2020-05-30,2021-11-01,82838.0
CLM-10700,2021-02-08,2021-03-03,2021-08-01,24434.41
CLM-10029,2021-03-21,2021-03-31,2021-05-11,19892.93
CLM-10040,2022-01-05,,2022-12-22,70182.14
CLM-10622,2023-03-12,2023-03-27,2024-01-03,61067.93
CLM-10616,2021-02-04,2021-03-08,2021-05-23,-2382.52
CLM-10663,2020-11-09,2020-11-22,2021-04-03,24528.25
CLM-10232,2021-09-05,2021-09-10,2021-10-11,66178.01
CLM-10555,2022-12-21,2023-03-18,2023-12-05,25302.26
CLM-10482,2024-02-01,2024-02-23,2024-12-23,47450.68
CLM-10280,2023-02-13,2023-04-15,2024-03-23,60844.34
CLM-10616,2021-02-04,2021-03-08,2021-03-28,21454.91
CLM-10685,2020-03-16,2020-03-17,2020-06-12,40494.64
CLM-10015,2020-07-20,2020-08-17,2021-04-16,45125.14
CLM-10145,2020-01-21,2020-03-11,2021-04-14,29866.65
CLM-10138,2023-02-27,2023-05-07,2024-03-28,78378.48
CLM-10076,2023-01-08,2023-03-22,2023-10-13,13538.44
CLM-10608,2020-06-26,2020-08-20,2021-07-22,54307.23
CLM-10656,2024-12-13,,2025-04-09,81046.11
CLM-10366,2023-03-21,2023-03-23,2025-03-17,57115.48
CLM-10680,2022-12-29,2023-01-30,2023-04-03,40189.53
CLM-10673,2021-02-09,2021-04-06,2021-06-20,73480.24
CLM-10158,2023-05-04,2023-06-29,2023-10-29,76148.36
CLM-10219,2024-08-21,2024-10-20,2024-12-21,57488.29
CLM-10321,2020-08-16,2020-11-09,2021-05-13,75802.72
CLM-10393,2020-05-19,2020-06-04,2020-07-16,-22824.31
CLM-10092,2020-06-15,2020-09-08,2021-07-25,72909.95
CLM-10088,2023-01-28,2023-04-01,2023-05-01,81217.47
CLM-10372,2020-05-11,2020-07-23,2020-08-20,-5485.62
CLM-10150,2021-06-20,2021-06-25,2021-12-12,49825.67
CLM-10011,2020-03-23,2020-04-06,2022-04-22,-4884.83
CLM-10177,2020-02-03,2020-03-24,2020-08-04,23356.31
CLM-10342,2022-09-06,2022-11-15,2023-05-26,49996.14
CLM-10458,2022-10-02,2022-10-24,2023-02-03,77659.93
CLM-10493,2021-04-16,2021-05-19,2022-03-28,55087.02
CLM-10601,2021-10-19,2021-12-26,2022-12-13,71619.39
CLM-10098,2023-05-17,2023-07-25,2024-08-02,71102.82
CLM-10484,2023-01-23,2023-03-30,2024-11-23,40503.09
CLM-10309,2024-11-23,,2025-05-03,2242043.82
CLM-10129,2020-03-20,2020-04-22,2020-09-04,28960.61
CLM-10341,2024-05-09,2024-06-16,2024-10-12,65509.46
CLM-10631,2023-12-04,2024-01-17,2024-05-23,28040.71
CLM-10449,2021-03-25,2021-05-31,2021-08-17,9788.73
CLM-10355,2023-03-23,2023-04-15,2024-06-10,-19151.28
CLM-10015,2020-07-20,2020-08-17,2020-10-05,54083.86
CLM-10235,2022-09-19,2022-12-14,2023-06-10,44509.6
CLM-10113,2020-02-04,2020-04-04,2021-01-18,43634.29
CLM-10223,2020-06-27,2020-08-09,2020-09-15,59866.04
CLM-10355,2023-03-23,2023-04-15,2023-07-06,18728.34
CLM-10408,2020-04-25,2020-07-07,2021-01-07,27382.83
CLM-10171,2021-09-13,2021-11-10,2023-04-02,6379.1
CLM-10239,2023-09-22,2023-11-08,2024-02-09,45366.43
CLM-10326,2021-03-08,2021-05-20,2021-10-07,38391.11
CLM-10003,2024-05-12,2024-05-18,2024-06-08,50420.04
CLM-10699,2024-06-30,2024-07-08,2025-04-08,66354.14
CLM-10172,2022-02-17,2022-04-25,2023-03-18,54133.45
CLM-10407,2021-01-21,2021-04-02,2022-03-08,18746.39
CLM-10733,2021-09-06,2021-10-18,2022-07-24,33953.99
CLM-10691,2021-02-13,2021-03-26,2021-10-02,10593.64
CLM-10198,2021-04-17,2021-07-06,2022-05-25,20444.12
CLM-10691,2021-02-13,2021-03-26,2022-02-04,16503.37
CLM-10033,2024-07-15,2024-09-22,2024-11-21,13531.76
CLM-10493,2021-04-16,2021-05-19,2021-10-28,58020.5
CLM-10359,2023-06-21,2023-09-18,2024-05-01,37025.32
CLM-10579,2020-07-05,2020-08-15,2021-01-02,-2118.63
CLM-10129,2020-03-20,2020-04-22,2021-02-04,9950.46
CLM-10690,2024-07-12,2024-10-07,2025-03-21,54428.75
CLM-10119,2022-11-23,2023-01-07,2023-03-25,12607.09
CLM-10562,2021-06-21,,2022-05-04,68143.64
CLM-10592,2024-02-09,2024-04-20,2024-05-16,25447.95
CLM-10736,2021-11-10,2022-01-29,2022-10-14,77818.71
CLM-10641,2020-01-14,2020-04-05,2021-03-03,30599.34
CLM-10063,2021-08-14,2021-10-09,2021-12-13,3268.62
CLM-10233,2020-07-08,2020-08-20,2020-11-29,-7370.24
CLM-10007,2022-12-13,2023-01-27,2023-10-08,59098.35
CLM-10080,2021-02-18,2021-03-21,2021-05-21,68061.35
CLM-10210,2021-07-05,2021-08-03,2022-01-13,-12495.9
CLM-10430,2020-05-28,2020-07-12,2020-12-18,5568.0
CLM-10184,2020-12-27,2021-01-30,2022-09-04,52615.68
CLM-10288,2022-02-17,2022-04-07,2022-09-06,22519.75
